file,line,changes
train_cleaned.jsonl,2591,transport_type_to_any
train_cleaned.jsonl,2610,transport_type_to_any
train_cleaned.jsonl,2618,transport_type_to_any
train_cleaned.jsonl,2622,transport_type_to_any
train_cleaned.jsonl,2636,transport_type_to_any
train_cleaned.jsonl,2647,transport_type_to_any
train_cleaned.jsonl,2677,transport_type_to_any
train_cleaned.jsonl,2775,transport_type_to_any
train_cleaned.jsonl,2798,departed_gate_advice_fixed
train_cleaned.jsonl,2817,transport_type_to_any
train_cleaned.jsonl,2848,departed_gate_advice_fixed
train_cleaned.jsonl,2853,departed_gate_advice_fixed
train_cleaned.jsonl,2859,transport_type_to_any
train_cleaned.jsonl,2877,transport_type_to_any
train_cleaned.jsonl,2881,transport_type_to_any
train_cleaned.jsonl,2887,departed_gate_advice_fixed
train_cleaned.jsonl,2889,transport_type_to_any
train_cleaned.jsonl,2912,transport_type_to_any
train_cleaned.jsonl,2915,transport_type_to_any
train_cleaned.jsonl,2916,transport_type_to_any
train_cleaned.jsonl,2917,transport_type_to_any
train_cleaned.jsonl,2919,departed_gate_advice_fixed
train_cleaned.jsonl,2926,departed_gate_advice_fixed
train_cleaned.jsonl,2944,transport_type_to_any
train_cleaned.jsonl,2963,transport_type_to_any
train_cleaned.jsonl,2975,transport_type_to_any
train_cleaned.jsonl,2985,transport_type_to_any
